Level,Degree,Term,courseName,courseID,courseType,creditHours,Grade
U,BS1,1,CourseB1,CB1,Major,3,85
U,BS1,1,CourseB6,CB6,Minor,3,86
U,BS1,1,CourseB2,CB2,Major,3,87
U,BS1,1,CourseB11,CB11,Major,3,88
U,BS1,1,CourseB16,CB16,Minor,3,89
U,BS1,2,CourseB14,CB14,Minor,2,89
U,BS1,2,CourseB12,CB12,Major,2,87
U,BS1,2,CourseB10,CB10,Major,4,88
U,BS1,2,CourseB8,CB8,Major,1,90
U,BS1,2,CourseB7,CB7,Minor,2,91
G,M1,1,CourseM2,CM2,Minor,2,87
G,M1,1,CourseM1,CM1,Major,5,84
G,M1,2,CourseM5,CM5,Major,5,98
G,M1,2,CourseM7,CM7,Major,4,82
G,D1,1,CourseD1,CD1,Major,6,95
G,D1,1,CourseD4,CD4,Major,5,91
