Level,Degree,Term,courseName,courseID,courseType,creditHours,Grade
U,BS1,1,CourseF1,CF1,Major,3,76
U,BS1,1,CourseF2,CF2,Minor,3,83
U,BS1,1,CourseF3,CF3,Major,3,78
U,BS1,1,CourseF4,CF4,Major,4,88
U,BS1,1,CourseF6,CF6,Minor,3,90
U,BS1,1,CourseF8,CF8,Major,3,85
U,BS1,1,CourseF10,CF10,Minor,4,86
U,BS1,2,CourseF11,CF11,Major,4,91
U,BS1,2,CourseF13,CF13,Major,3,80
U,BS1,2,CourseF14,CF14,Minor,4,84
U,BS1,2,CourseB2,CB2,Minor,2,88
U,BS1,2,CourseB4,CB4,Minor,1,89
U,BS1,3,CourseB9,CB9,Major,5,75
U,BS1,3,CourseE9,CE9,Major,5,79
U,BS1,3,CourseE11,CE11,Major,5,77
U,BS1,3,CourseD3,CD3,Minor,3,78
U,BS1,3,CourseE8,CE8,Minor,4,80
